seed,symbol,days,survival,max_dd_pct,final_pnl,trades,avg_slippage_bps,regime_flips,breach_reason
1368579385,SPY,252,True,2.79,1450.26,1,22.9,1,
1157138887,SPY,252,True,6.82,-3824.87,1,24.0,1,
1992436500,SPY,252,True,4.00,2814.75,1,25.2,1,
881409157,SPY,252,True,12.35,-9716.29,1,24.6,1,
1133130446,SPY,252,True,4.76,-2172.78,1,23.2,1,
1542976155,SPY,252,True,6.80,-1893.59,1,24.0,1,
1965864040,SPY,252,True,5.93,-3283.36,1,23.7,1,
501510221,SPY,252,True,4.97,1019.33,1,24.9,1,
270250124,SPY,252,True,7.32,-5690.45,1,23.4,1,
129821178,SPY,252,True,4.19,5070.91,1,23.9,1,
371159685,SPY,252,True,3.88,-436.47,1,25.1,1,
1301381649,SPY,252,True,6.77,-5493.22,1,23.2,1,
166625723,SPY,252,True,6.53,7160.64,1,24.7,1,
644761128,SPY,252,True,6.36,-3825.34,1,24.8,1,
1828189530,SPY,252,True,6.72,-1451.89,1,23.6,1,
350325263,SPY,252,True,7.47,-3972.04,1,23.6,1,
1135187610,SPY,252,True,8.11,-5011.89,1,23.5,1,
926826416,SPY,252,True,3.61,5983.53,1,24.3,1,
1630138838,SPY,252,True,5.92,-3352.32,1,23.9,1,
682121587,SPY,252,True,4.68,1641.02,1,24.2,1,
759014657,SPY,252,True,6.66,-86.09,1,24.5,1,
1910713803,SPY,252,True,5.53,4800.80,1,23.4,1,
579756601,SPY,252,True,3.39,940.13,1,24.1,1,
365833714,SPY,252,True,7.94,-4785.69,1,24.3,1,
1576842450,SPY,252,True,6.24,2324.59,1,24.1,1,
1508160571,SPY,252,True,5.51,-2442.55,1,24.6,1,
2024653159,SPY,252,True,2.28,7276.57,1,23.9,1,
721105481,SPY,252,True,5.32,6336.31,1,23.1,1,
56858242,SPY,252,True,4.47,8768.61,1,24.7,1,
1996510921,SPY,252,True,4.74,7165.51,1,24.9,1,
1101102702,SPY,252,True,4.70,7586.94,1,24.5,1,
1176872058,SPY,252,True,10.70,-4443.65,1,24.0,1,
188646477,SPY,252,True,7.74,-5920.72,1,24.7,1,
2010542813,SPY,252,True,8.82,-77.03,1,24.1,1,
498829294,SPY,252,True,5.15,-3344.03,1,24.1,1,
1772708417,SPY,252,True,3.11,7310.64,1,24.2,1,
156161127,SPY,252,True,4.94,1693.92,1,24.3,1,
29206929,SPY,252,True,9.32,-5493.45,1,24.6,1,
1089773505,SPY,252,True,7.54,-6148.77,1,24.5,1,
1168070366,SPY,252,True,4.35,199.42,1,23.3,1,
307470078,SPY,252,True,2.71,5895.67,1,24.8,1,
1015738111,SPY,252,True,10.60,-4908.91,1,24.8,1,
2083897653,SPY,252,True,3.30,10262.72,1,24.2,1,
1592699748,SPY,252,True,9.51,-6438.05,1,24.3,1,
1396492757,SPY,252,True,3.11,3277.19,1,24.6,1,
343769473,SPY,252,True,5.68,76.95,1,23.7,1,
1707387313,SPY,252,True,4.53,1956.61,1,25.6,1,
51598153,SPY,252,True,7.76,176.74,1,23.7,1,
295376093,SPY,252,True,7.38,370.17,1,24.2,1,
495235116,SPY,252,True,5.06,5935.13,1,23.3,1,
1045596350,SPY,252,True,2.12,4704.53,1,24.3,1,
1794414528,SPY,252,True,7.45,-6100.49,1,24.7,1,
173449590,SPY,252,True,3.65,1643.10,1,23.9,1,
677487706,SPY,252,True,2.36,3484.74,1,24.4,1,
19961736,SPY,252,True,3.77,2442.20,1,24.1,1,
1782251391,SPY,252,True,6.32,-729.70,1,23.5,1,
1545131013,SPY,252,True,4.54,-1575.25,1,23.3,1,
682056530,SPY,252,True,7.20,-2852.82,1,24.5,1,
813200917,SPY,252,True,4.92,6672.17,1,23.2,1,
1404947736,SPY,252,True,2.68,951.18,1,24.3,1,
1159006295,SPY,252,True,9.10,3045.44,1,24.6,1,
754752977,SPY,252,True,5.36,-4393.63,1,23.8,1,
409326923,SPY,252,True,3.61,3993.22,1,24.8,1,
268973011,SPY,252,True,3.98,5170.70,1,24.2,1,
1642386175,SPY,252,True,4.43,-2467.44,1,24.1,1,
1426828197,SPY,252,True,7.91,-3826.45,1,24.1,1,
1286464817,SPY,252,True,3.50,5217.09,1,23.0,1,
35408909,SPY,252,True,4.98,-2371.97,1,24.4,1,
655385844,SPY,252,True,4.11,830.65,1,24.3,1,
2040337863,SPY,252,True,3.93,-1663.08,1,24.8,1,
1056534825,SPY,252,True,6.68,-336.04,1,23.4,1,
314328033,SPY,252,True,3.90,-1601.43,1,23.0,1,
115049892,SPY,252,True,6.80,-774.53,1,25.1,1,
1966097128,SPY,252,True,8.09,-629.64,1,24.0,1,
319909315,SPY,252,True,5.36,-3245.77,1,24.1,1,
660831054,SPY,252,True,6.39,2070.90,1,25.2,1,
754144522,SPY,252,True,4.12,6053.94,1,24.2,1,
1593859819,SPY,252,True,4.68,3027.76,1,24.4,1,
1624983307,SPY,252,True,3.44,-1004.16,1,24.7,1,
1519768120,SPY,252,True,2.98,3792.21,1,23.9,1,
45255426,SPY,252,True,4.34,-69.20,1,23.7,1,
53131706,SPY,252,True,2.05,24310.89,1,24.6,1,
1797871854,SPY,252,True,2.27,3277.01,1,23.4,1,
291685373,SPY,252,True,6.95,-2892.98,1,24.6,1,
259084103,SPY,252,True,3.09,14279.35,1,23.9,1,
1378473819,SPY,252,True,11.73,-5662.32,1,24.0,1,
1759161404,SPY,252,True,3.12,3496.13,1,23.9,1,
1671081481,SPY,252,True,3.50,2152.29,1,22.5,1,
1902902261,SPY,252,True,2.29,3523.13,1,23.6,1,
904779804,SPY,252,True,5.29,-1949.44,1,24.5,1,
476124268,SPY,252,True,4.91,1248.67,1,24.4,1,
623825412,SPY,252,True,4.70,-795.98,1,24.6,1,
634905391,SPY,252,True,4.95,1692.71,1,23.7,1,
1658744098,SPY,252,True,11.10,-3391.52,1,24.8,1,
2034002045,SPY,252,True,8.58,-5995.42,1,22.5,1,
1348172405,SPY,252,True,5.16,-4908.87,1,24.8,1,
2023764891,SPY,252,True,3.93,1259.03,1,23.6,1,
1389301626,SPY,252,True,5.97,8846.71,1,23.9,1,
1875694550,SPY,252,True,5.78,-4601.20,1,23.3,1,
244792349,SPY,252,True,3.91,5301.96,1,24.1,1,
1025679663,GLD,252,True,11.11,-6504.49,1,24.7,1,
601552592,GLD,252,True,4.34,4535.20,1,23.5,1,
708807784,GLD,252,True,3.06,10851.75,1,24.2,1,
1267723812,GLD,252,True,5.17,-4286.73,1,23.8,1,
251276880,GLD,252,True,5.60,3149.60,1,23.4,1,
141364296,GLD,252,True,3.52,18455.90,1,24.2,1,
142361082,GLD,252,True,3.11,4282.99,1,24.6,1,
2137963877,GLD,252,True,4.97,1714.81,1,23.5,1,
2073735325,GLD,252,True,4.88,225.93,1,24.2,1,
1752038515,GLD,252,True,6.24,-4843.83,1,23.5,1,
27765443,GLD,252,True,3.33,1461.15,1,23.1,1,
549096327,GLD,252,True,6.21,-869.25,1,24.3,1,
1156323694,GLD,252,True,4.19,798.60,1,23.8,1,
1683172412,GLD,252,True,5.62,-3353.29,1,23.9,1,
1021104767,GLD,252,True,5.75,6951.19,1,24.9,1,
902137601,GLD,252,True,2.74,6492.16,1,23.7,1,
1585921937,GLD,252,True,6.96,442.11,1,23.8,1,
98442961,GLD,252,True,4.73,1647.81,1,24.0,1,
1264700236,GLD,252,True,4.35,3139.78,1,23.4,1,
266464754,GLD,252,True,2.38,4547.45,1,24.2,1,
111836162,GLD,252,True,10.75,-6671.62,1,24.2,1,
1870373244,GLD,252,True,2.64,19517.89,1,23.6,1,
